Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 310473 to 310473
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
[?1034hDumping EventVeto data from run 310473 to run 310473  lasting from Thu Oct 13 03:34:48 2016 UTC to Thu Oct 13 12:06:59 2016 UTC
Event Veto ['MiniNoiseBurst'], Thu Oct 13 04:59:09 2016 UTC-Thu Oct 13 04:59:09 2016 UTC (0.010 )  Time stamp start 1476334749707468290 end 1476334749697468290  Run 310473, LB 91, lumi 126.76
Event Veto ['MiniNoiseBurst'], Thu Oct 13 04:59:11 2016 UTC-Thu Oct 13 04:59:11 2016 UTC (0.010 )  Time stamp start 1476334751238463205 end 1476334751228463205  Run 310473, LB 91, lumi 126.76
Event Veto ['MiniNoiseBurst'], Thu Oct 13 04:59:12 2016 UTC-Thu Oct 13 04:59:12 2016 UTC (0.010 )  Time stamp start 1476334752102013425 end 1476334752092013425  Run 310473, LB 91, lumi 126.76
Event Veto ['MiniNoiseBurst'], Thu Oct 13 04:59:13 2016 UTC-Thu Oct 13 04:59:13 2016 UTC (0.010 )  Time stamp start 1476334753248829170 end 1476334753238829170  Run 310473, LB 91, lumi 126.76
Event Veto ['MiniNoiseBurst'], Thu Oct 13 04:59:14 2016 UTC-Thu Oct 13 04:59:14 2016 UTC (0.010 )  Time stamp start 1476334754656184560 end 1476334754646184560  Run 310473, LB 91, lumi 126.76
Event Veto ['MiniNoiseBurst'], Thu Oct 13 04:59:16 2016 UTC-Thu Oct 13 04:59:16 2016 UTC (0.010 )  Time stamp start 1476334756098988090 end 1476334756088988090  Run 310473, LB 91, lumi 126.76
Event Veto ['MiniNoiseBurst'], Thu Oct 13 04:59:18 2016 UTC-Thu Oct 13 04:59:18 2016 UTC (0.038 )  Time stamp start 1476334758251583130 end 1476334758213684760  Run 310473, LB 91, lumi 480.39
Event Veto ['MiniNoiseBurst'], Thu Oct 13 04:59:19 2016 UTC-Thu Oct 13 04:59:19 2016 UTC (0.015 )  Time stamp start 1476334759434134375 end 1476334759418675625  Run 310473, LB 91, lumi 195.95
Event Veto ['MiniNoiseBurst'], Thu Oct 13 04:59:20 2016 UTC-Thu Oct 13 04:59:20 2016 UTC (0.010 )  Time stamp start 1476334760475337085 end 1476334760465337085  Run 310473, LB 91, lumi 126.76
Event Veto ['MiniNoiseBurst'], Thu Oct 13 04:59:21 2016 UTC-Thu Oct 13 04:59:21 2016 UTC (0.010 )  Time stamp start 1476334761276797140 end 1476334761266797140  Run 310473, LB 91, lumi 126.76
