Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 310249 to 310249
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
[?1034hDumping EventVeto data from run 310249 to run 310249  lasting from Sun Oct  9 09:54:42 2016 UTC to Mon Oct 10 06:11:42 2016 UTC
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:47:45 2016 UTC-Sun Oct  9 12:47:45 2016 UTC (0.004 )  Time stamp start 1476017265632816480 end 1476017265628316480  Run 310249, LB 186, lumi 60.52
Event Veto ['NoiseBurst'], Sun Oct  9 12:47:49 2016 UTC-Sun Oct  9 12:47:49 2016 UTC (0.000 )  Time stamp start 1476017269052978950 end 1476017269052978550  Run 310249, LB 187, lumi 0.01
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:47:55 2016 UTC-Sun Oct  9 12:47:55 2016 UTC (0.010 )  Time stamp start 1476017275166682180 end 1476017275156682180  Run 310249, LB 187, lumi 134.00
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:48:00 2016 UTC-Sun Oct  9 12:48:00 2016 UTC (0.010 )  Time stamp start 1476017280234733890 end 1476017280224733890  Run 310249, LB 187, lumi 134.00
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:48:06 2016 UTC-Sun Oct  9 12:48:06 2016 UTC (0.011 )  Time stamp start 1476017286308689320 end 1476017286297653290  Run 310249, LB 187, lumi 147.89
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:48:08 2016 UTC-Sun Oct  9 12:48:08 2016 UTC (0.018 )  Time stamp start 1476017288469545125 end 1476017288451975395  Run 310249, LB 187, lumi 235.44
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:48:20 2016 UTC-Sun Oct  9 12:48:20 2016 UTC (0.004 )  Time stamp start 1476017300341260020 end 1476017300336760020  Run 310249, LB 188, lumi 60.20
Event Veto ['NoiseBurst'], Sun Oct  9 12:48:26 2016 UTC-Sun Oct  9 12:48:26 2016 UTC (0.010 )  Time stamp start 1476017306910568585 end 1476017306900565045  Run 310249, LB 188, lumi 133.82
Event Veto ['NoiseBurst'], Sun Oct  9 12:48:31 2016 UTC-Sun Oct  9 12:48:31 2016 UTC (0.000 )  Time stamp start 1476017311479613110 end 1476017311479570745  Run 310249, LB 188, lumi 0.57
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:48:38 2016 UTC-Sun Oct  9 12:48:38 2016 UTC (0.010 )  Time stamp start 1476017318588879705 end 1476017318578879705  Run 310249, LB 188, lumi 133.77
