Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 329716 to 329716
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
[?1034hDumping EventVeto data from run 329716 to run 329716  lasting from Fri Jul 14 03:19:56 2017 UTC to Fri Jul 14 09:57:23 2017 UTC
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:50 2017 UTC-Fri Jul 14 07:33:50 2017 UTC (0.000 )  Time stamp start 1500017630877440160 end 1500017630877340160  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:50 2017 UTC-Fri Jul 14 07:33:50 2017 UTC (0.000 )  Time stamp start 1500017630942254870 end 1500017630942154870  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:50 2017 UTC-Fri Jul 14 07:33:50 2017 UTC (0.000 )  Time stamp start 1500017630983333145 end 1500017630983233145  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:51 2017 UTC-Fri Jul 14 07:33:51 2017 UTC (0.000 )  Time stamp start 1500017631028395030 end 1500017631028295030  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:51 2017 UTC-Fri Jul 14 07:33:51 2017 UTC (0.000 )  Time stamp start 1500017631077897420 end 1500017631077797420  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:51 2017 UTC-Fri Jul 14 07:33:51 2017 UTC (0.000 )  Time stamp start 1500017631133433275 end 1500017631133333275  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:51 2017 UTC-Fri Jul 14 07:33:51 2017 UTC (0.000 )  Time stamp start 1500017631172246720 end 1500017631172146470  Run 329716, LB 259, lumi 0.72
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:51 2017 UTC-Fri Jul 14 07:33:51 2017 UTC (0.000 )  Time stamp start 1500017631218534105 end 1500017631218434105  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:51 2017 UTC-Fri Jul 14 07:33:51 2017 UTC (0.000 )  Time stamp start 1500017631258704150 end 1500017631258604150  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:51 2017 UTC-Fri Jul 14 07:33:51 2017 UTC (0.000 )  Time stamp start 1500017631310797575 end 1500017631310697575  Run 329716, LB 259, lumi 0.71
