Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 302872 to 302872
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 302872 to run 302872  lasting from Sun Jun 26 12:43:40 2016 UTC to Tue Jun 28 04:49:33 2016 UTC
Event Veto ['NoiseBurst'], Sun Jun 26 15:43:27 2016 UTC-Sun Jun 26 15:43:27 2016 UTC (0.010 )  Time stamp start 1466955807887657395 end 1466955807877657245  Run 302872, LB 186, lumi 106.63
Event Veto ['MiniNoiseBurst'], Sun Jun 26 15:43:32 2016 UTC-Sun Jun 26 15:43:32 2016 UTC (0.001 )  Time stamp start 1466955812051319300 end 1466955812050319030  Run 302872, LB 186, lumi 10.67
Event Veto ['MiniNoiseBurst'], Sun Jun 26 15:43:42 2016 UTC-Sun Jun 26 15:43:42 2016 UTC (0.001 )  Time stamp start 1466955822040649495 end 1466955822039649100  Run 302872, LB 186, lumi 10.67
Event Veto ['MiniNoiseBurst'], Sun Jun 26 15:43:46 2016 UTC-Sun Jun 26 15:43:46 2016 UTC (0.001 )  Time stamp start 1466955826319655285 end 1466955826318653915  Run 302872, LB 187, lumi 10.64
Event Veto ['MiniNoiseBurst'], Sun Jun 26 15:43:50 2016 UTC-Sun Jun 26 15:43:50 2016 UTC (0.001 )  Time stamp start 1466955830511269240 end 1466955830510269240  Run 302872, LB 187, lumi 10.63
Event Veto ['MiniNoiseBurst'], Sun Jun 26 15:44:40 2016 UTC-Sun Jun 26 15:44:40 2016 UTC (0.001 )  Time stamp start 1466955880773681000 end 1466955880772680750  Run 302872, LB 188, lumi 10.62
Event Veto ['NoiseBurst'], Sun Jun 26 15:44:43 2016 UTC-Sun Jun 26 15:44:43 2016 UTC (0.010 )  Time stamp start 1466955883769407550 end 1466955883759393230  Run 302872, LB 188, lumi 106.30
Event Veto ['MiniNoiseBurst'], Sun Jun 26 15:44:45 2016 UTC-Sun Jun 26 15:44:45 2016 UTC (0.001 )  Time stamp start 1466955885308386075 end 1466955885307385700  Run 302872, LB 188, lumi 10.62
Event Veto ['NoiseBurst'], Sun Jun 26 15:44:54 2016 UTC-Sun Jun 26 15:44:54 2016 UTC (0.010 )  Time stamp start 1466955894136904615 end 1466955894126903995  Run 302872, LB 188, lumi 106.15
Event Veto ['MiniNoiseBurst'], Sun Jun 26 15:44:56 2016 UTC-Sun Jun 26 15:44:56 2016 UTC (0.001 )  Time stamp start 1466955896520049420 end 1466955896519049420  Run 302872, LB 188, lumi 10.61
Event Veto ['NoiseBurst'], Sun Jun 26 15:45:00 2016 UTC-Sun Jun 26 15:45:00 2016 UTC (0.010 )  Time stamp start 1466955900967544840 end 1466955900957431310  Run 302872, LB 189, lumi 107.16
