Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 350531 to 350531
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 350531 to run 350531  lasting from Thu May 17 23:21:54 2018 UTC to Fri May 18 09:02:35 2018 UTC
Event Veto ['MiniNoiseBurst'], Fri May 18 00:55:41 2018 UTC-Fri May 18 00:55:41 2018 UTC (0.001 )  Time stamp start 1526604941656489430 end 1526604941655489430  Run 350531, LB 136, lumi 17.63
Event Veto ['MiniNoiseBurst'], Fri May 18 00:56:01 2018 UTC-Fri May 18 00:56:01 2018 UTC (0.001 )  Time stamp start 1526604961041015285 end 1526604961040015285  Run 350531, LB 136, lumi 17.63
Event Veto ['MiniNoiseBurst'], Fri May 18 00:56:15 2018 UTC-Fri May 18 00:56:15 2018 UTC (0.001 )  Time stamp start 1526604975316079570 end 1526604975315079570  Run 350531, LB 137, lumi 17.56
Event Veto ['NoiseBurst'], Fri May 18 00:56:28 2018 UTC-Fri May 18 00:56:28 2018 UTC (0.001 )  Time stamp start 1526604988480446625 end 1526604988479387295  Run 350531, LB 137, lumi 18.60
Event Veto ['MiniNoiseBurst'], Fri May 18 00:56:31 2018 UTC-Fri May 18 00:56:31 2018 UTC (0.001 )  Time stamp start 1526604991011993760 end 1526604991010993760  Run 350531, LB 137, lumi 17.56
Event Veto ['NoiseBurst'], Fri May 18 00:57:11 2018 UTC-Fri May 18 00:57:11 2018 UTC (0.001 )  Time stamp start 1526605031863254905 end 1526605031862038955  Run 350531, LB 138, lumi 21.32
Event Veto ['MiniNoiseBurst'], Fri May 18 00:57:16 2018 UTC-Fri May 18 00:57:16 2018 UTC (0.001 )  Time stamp start 1526605036051237365 end 1526605036050237365  Run 350531, LB 138, lumi 17.53
Event Veto ['MiniNoiseBurst'], Fri May 18 00:57:18 2018 UTC-Fri May 18 00:57:18 2018 UTC (0.001 )  Time stamp start 1526605038322021335 end 1526605038321021335  Run 350531, LB 138, lumi 17.53
Event Veto ['MiniNoiseBurst'], Fri May 18 00:57:18 2018 UTC-Fri May 18 00:57:18 2018 UTC (0.001 )  Time stamp start 1526605038918347735 end 1526605038917347735  Run 350531, LB 138, lumi 17.53
Event Veto ['NoiseBurst'], Fri May 18 00:58:48 2018 UTC-Fri May 18 00:58:48 2018 UTC (0.002 )  Time stamp start 1526605128080990885 end 1526605128079244385  Run 350531, LB 139, lumi 30.43
Event Veto ['NoiseBurst'], Fri May 18 00:58:48 2018 UTC-Fri May 18 00:58:48 2018 UTC (0.002 )  Time stamp start 1526605128082842530 end 1526605128080997350  Run 350531, LB 139, lumi 32.15
Event Veto ['MiniNoiseBurst'], Fri May 18 00:59:13 2018 UTC-Fri May 18 00:59:13 2018 UTC (0.001 )  Time stamp start 1526605153134746320 end 1526605153133746320  Run 350531, LB 140, lumi 17.32
Event Veto ['NoiseBurst'], Fri May 18 01:00:04 2018 UTC-Fri May 18 01:00:04 2018 UTC (0.001 )  Time stamp start 1526605204799877780 end 1526605204798415365  Run 350531, LB 141, lumi 25.26
Event Veto ['NoiseBurst'], Fri May 18 01:00:27 2018 UTC-Fri May 18 01:00:27 2018 UTC (0.001 )  Time stamp start 1526605227745573290 end 1526605227744355395  Run 350531, LB 141, lumi 21.04
Event Veto ['MiniNoiseBurst'], Fri May 18 01:00:28 2018 UTC-Fri May 18 01:00:28 2018 UTC (0.001 )  Time stamp start 1526605228223390365 end 1526605228222390365  Run 350531, LB 141, lumi 17.27
Event Veto ['MiniNoiseBurst'], Fri May 18 01:00:42 2018 UTC-Fri May 18 01:00:42 2018 UTC (0.001 )  Time stamp start 1526605242185892430 end 1526605242184892430  Run 350531, LB 141, lumi 17.27
