Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 349327 to 349327
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 349327 to run 349327  lasting from Tue May  1 23:00:17 2018 UTC to Wed May  2 06:30:40 2018 UTC
Event Veto ['MiniNoiseBurst'], Wed May  2 04:34:23 2018 UTC-Wed May  2 04:34:23 2018 UTC (0.001 )  Time stamp start 1525235663562000040 end 1525235663561000040  Run 349327, LB 346, lumi 14.32
Event Veto ['MiniNoiseBurst'], Wed May  2 04:35:17 2018 UTC-Wed May  2 04:35:17 2018 UTC (0.001 )  Time stamp start 1525235717284250045 end 1525235717283250045  Run 349327, LB 347, lumi 14.31
Event Veto ['MiniNoiseBurst'], Wed May  2 04:35:30 2018 UTC-Wed May  2 04:35:30 2018 UTC (0.001 )  Time stamp start 1525235730522116720 end 1525235730521116720  Run 349327, LB 347, lumi 14.31
Event Veto ['MiniNoiseBurst'], Wed May  2 04:35:40 2018 UTC-Wed May  2 04:35:40 2018 UTC (0.001 )  Time stamp start 1525235740424121455 end 1525235740423121455  Run 349327, LB 347, lumi 14.31
Event Veto ['MiniNoiseBurst'], Wed May  2 04:36:00 2018 UTC-Wed May  2 04:36:00 2018 UTC (0.001 )  Time stamp start 1525235760991118760 end 1525235760990118760  Run 349327, LB 348, lumi 14.27
Event Veto ['MiniNoiseBurst'], Wed May  2 04:36:46 2018 UTC-Wed May  2 04:36:46 2018 UTC (0.001 )  Time stamp start 1525235806252678425 end 1525235806251678425  Run 349327, LB 348, lumi 14.27
Event Veto ['MiniNoiseBurst'], Wed May  2 04:36:51 2018 UTC-Wed May  2 04:36:51 2018 UTC (0.001 )  Time stamp start 1525235811220973105 end 1525235811219973105  Run 349327, LB 349, lumi 14.27
Event Veto ['NoiseBurst'], Wed May  2 04:37:11 2018 UTC-Wed May  2 04:37:11 2018 UTC (0.001 )  Time stamp start 1525235831219192455 end 1525235831218191705  Run 349327, LB 349, lumi 14.28
Event Veto ['MiniNoiseBurst'], Wed May  2 04:37:12 2018 UTC-Wed May  2 04:37:12 2018 UTC (0.001 )  Time stamp start 1525235832974353000 end 1525235832973353000  Run 349327, LB 349, lumi 14.27
Event Veto ['NoiseBurst'], Wed May  2 04:37:20 2018 UTC-Wed May  2 04:37:20 2018 UTC (0.001 )  Time stamp start 1525235840135805560 end 1525235840134800965  Run 349327, LB 349, lumi 14.33
