Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 350121 to 350121
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 350121 to run 350121  lasting from Sat May 12 02:00:08 2018 UTC to Sat May 12 16:57:50 2018 UTC
Event Veto ['MiniNoiseBurst'], Sat May 12 03:04:54 2018 UTC-Sat May 12 03:04:54 2018 UTC (0.001 )  Time stamp start 1526094294959995470 end 1526094294958995470  Run 350121, LB 74, lumi 19.56
Event Veto ['MiniNoiseBurst'], Sat May 12 03:05:04 2018 UTC-Sat May 12 03:05:04 2018 UTC (0.001 )  Time stamp start 1526094304141408055 end 1526094304140408055  Run 350121, LB 74, lumi 19.56
Event Veto ['MiniNoiseBurst'], Sat May 12 03:05:10 2018 UTC-Sat May 12 03:05:10 2018 UTC (0.001 )  Time stamp start 1526094310661866810 end 1526094310660866810  Run 350121, LB 74, lumi 19.56
Event Veto ['MiniNoiseBurst'], Sat May 12 03:05:14 2018 UTC-Sat May 12 03:05:14 2018 UTC (0.001 )  Time stamp start 1526094314673227820 end 1526094314672227820  Run 350121, LB 74, lumi 19.56
Event Veto ['MiniNoiseBurst'], Sat May 12 03:05:19 2018 UTC-Sat May 12 03:05:19 2018 UTC (0.001 )  Time stamp start 1526094319208264785 end 1526094319207264785  Run 350121, LB 74, lumi 19.56
Event Veto ['MiniNoiseBurst'], Sat May 12 03:05:21 2018 UTC-Sat May 12 03:05:21 2018 UTC (0.001 )  Time stamp start 1526094321076354650 end 1526094321075354350  Run 350121, LB 74, lumi 19.57
Event Veto ['MiniNoiseBurst'], Sat May 12 03:05:55 2018 UTC-Sat May 12 03:05:55 2018 UTC (0.001 )  Time stamp start 1526094355097816545 end 1526094355096816545  Run 350121, LB 76, lumi 19.39
Event Veto ['MiniNoiseBurst'], Sat May 12 03:06:00 2018 UTC-Sat May 12 03:06:00 2018 UTC (0.001 )  Time stamp start 1526094360352167410 end 1526094360351167410  Run 350121, LB 76, lumi 19.39
Event Veto ['MiniNoiseBurst'], Sat May 12 03:06:05 2018 UTC-Sat May 12 03:06:05 2018 UTC (0.001 )  Time stamp start 1526094365802247665 end 1526094365801247665  Run 350121, LB 76, lumi 19.39
Event Veto ['MiniNoiseBurst'], Sat May 12 03:06:06 2018 UTC-Sat May 12 03:06:06 2018 UTC (0.001 )  Time stamp start 1526094366401741630 end 1526094366400741630  Run 350121, LB 76, lumi 19.39
