Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 351698 to 351698
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 351698 to run 351698  lasting from Sat Jun  2 09:51:16 2018 UTC to Sat Jun  2 15:03:46 2018 UTC
Event Veto ['MiniNoiseBurst'], Sat Jun  2 11:09:58 2018 UTC-Sat Jun  2 11:09:58 2018 UTC (0.001 )  Time stamp start 1527937798820041625 end 1527937798819041625  Run 351698, LB 94, lumi 8.12
Event Veto ['MiniNoiseBurst'], Sat Jun  2 11:10:30 2018 UTC-Sat Jun  2 11:10:30 2018 UTC (0.001 )  Time stamp start 1527937830951319835 end 1527937830950319835  Run 351698, LB 95, lumi 8.12
Event Veto ['MiniNoiseBurst'], Sat Jun  2 11:10:32 2018 UTC-Sat Jun  2 11:10:32 2018 UTC (0.001 )  Time stamp start 1527937832665246710 end 1527937832664246710  Run 351698, LB 95, lumi 8.12
Event Veto ['NoiseBurst'], Sat Jun  2 11:10:35 2018 UTC-Sat Jun  2 11:10:35 2018 UTC (0.001 )  Time stamp start 1527937835334785465 end 1527937835333785215  Run 351698, LB 95, lumi 8.12
Event Veto ['MiniNoiseBurst'], Sat Jun  2 11:10:50 2018 UTC-Sat Jun  2 11:10:50 2018 UTC (0.001 )  Time stamp start 1527937850679752250 end 1527937850678752250  Run 351698, LB 95, lumi 8.12
Event Veto ['NoiseBurst'], Sat Jun  2 11:10:59 2018 UTC-Sat Jun  2 11:10:59 2018 UTC (0.001 )  Time stamp start 1527937859060775540 end 1527937859059693780  Run 351698, LB 95, lumi 8.78
Event Veto ['MiniNoiseBurst'], Sat Jun  2 11:11:09 2018 UTC-Sat Jun  2 11:11:09 2018 UTC (0.001 )  Time stamp start 1527937869671686945 end 1527937869670686945  Run 351698, LB 95, lumi 8.12
Event Veto ['MiniNoiseBurst'], Sat Jun  2 11:11:32 2018 UTC-Sat Jun  2 11:11:32 2018 UTC (0.001 )  Time stamp start 1527937892494184725 end 1527937892493184725  Run 351698, LB 96, lumi 8.11
Event Veto ['MiniNoiseBurst'], Sat Jun  2 11:12:27 2018 UTC-Sat Jun  2 11:12:27 2018 UTC (0.001 )  Time stamp start 1527937947563499235 end 1527937947562499235  Run 351698, LB 97, lumi 8.11
Event Veto ['NoiseBurst'], Sat Jun  2 11:12:32 2018 UTC-Sat Jun  2 11:12:32 2018 UTC (0.004 )  Time stamp start 1527937952926314080 end 1527937952922193315  Run 351698, LB 97, lumi 33.41
Event Veto ['MiniNoiseBurst'], Sat Jun  2 11:12:57 2018 UTC-Sat Jun  2 11:12:57 2018 UTC (0.001 )  Time stamp start 1527937977644824520 end 1527937977643824520  Run 351698, LB 97, lumi 8.11
Event Veto ['MiniNoiseBurst'], Sat Jun  2 11:13:04 2018 UTC-Sat Jun  2 11:13:04 2018 UTC (0.001 )  Time stamp start 1527937984606094270 end 1527937984605094270  Run 351698, LB 97, lumi 8.11
Event Veto ['MiniNoiseBurst'], Sat Jun  2 11:13:06 2018 UTC-Sat Jun  2 11:13:06 2018 UTC (0.001 )  Time stamp start 1527937986389345930 end 1527937986388345930  Run 351698, LB 97, lumi 8.11
