Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 349582 to 349582
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 349582 to run 349582  lasting from Sat May  5 14:43:19 2018 UTC to Sat May  5 17:46:20 2018 UTC
Event Veto ['MiniNoiseBurst'], Sat May  5 16:11:08 2018 UTC-Sat May  5 16:11:08 2018 UTC (0.001 )  Time stamp start 1525536668110777805 end 1525536668109777805  Run 349582, LB 127, lumi 20.14
Event Veto ['MiniNoiseBurst'], Sat May  5 16:11:11 2018 UTC-Sat May  5 16:11:11 2018 UTC (0.001 )  Time stamp start 1525536671712811870 end 1525536671711811870  Run 349582, LB 127, lumi 20.14
Event Veto ['MiniNoiseBurst'], Sat May  5 16:11:12 2018 UTC-Sat May  5 16:11:12 2018 UTC (0.001 )  Time stamp start 1525536672002854055 end 1525536672001854055  Run 349582, LB 127, lumi 20.14
Event Veto ['MiniNoiseBurst'], Sat May  5 16:11:16 2018 UTC-Sat May  5 16:11:16 2018 UTC (0.001 )  Time stamp start 1525536676622094110 end 1525536676621094110  Run 349582, LB 127, lumi 20.14
Event Veto ['MiniNoiseBurst'], Sat May  5 16:11:26 2018 UTC-Sat May  5 16:11:26 2018 UTC (0.001 )  Time stamp start 1525536686585998460 end 1525536686584998460  Run 349582, LB 127, lumi 20.14
Event Veto ['MiniNoiseBurst'], Sat May  5 16:11:30 2018 UTC-Sat May  5 16:11:30 2018 UTC (0.001 )  Time stamp start 1525536690036805450 end 1525536690035697040  Run 349582, LB 127, lumi 22.32
Event Veto ['MiniNoiseBurst'], Sat May  5 16:11:37 2018 UTC-Sat May  5 16:11:37 2018 UTC (0.002 )  Time stamp start 1525536697555371530 end 1525536697553381435  Run 349582, LB 128, lumi 40.59
Event Veto ['MiniNoiseBurst'], Sat May  5 16:11:42 2018 UTC-Sat May  5 16:11:42 2018 UTC (0.001 )  Time stamp start 1525536702387081970 end 1525536702386081670  Run 349582, LB 128, lumi 20.40
Event Veto ['MiniNoiseBurst'], Sat May  5 16:11:43 2018 UTC-Sat May  5 16:11:43 2018 UTC (0.001 )  Time stamp start 1525536703998975170 end 1525536703997975170  Run 349582, LB 128, lumi 20.39
Event Veto ['MiniNoiseBurst'], Sat May  5 16:11:45 2018 UTC-Sat May  5 16:11:45 2018 UTC (0.001 )  Time stamp start 1525536705369951650 end 1525536705368951650  Run 349582, LB 128, lumi 20.39
Event Veto ['MiniNoiseBurst'], Sat May  5 16:11:47 2018 UTC-Sat May  5 16:11:47 2018 UTC (0.001 )  Time stamp start 1525536707258003345 end 1525536707257003345  Run 349582, LB 128, lumi 20.39
