Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 333426 to 333426
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 333426 to run 333426  lasting from Thu Aug 17 10:02:29 2017 UTC to Thu Aug 17 13:07:44 2017 UTC
Event Veto ['MiniNoiseBurst'], Thu Aug 17 11:22:35 2017 UTC-Thu Aug 17 11:22:35 2017 UTC (0.001 )  Time stamp start 1502968955328347055 end 1502968955327347055  Run 333426, LB 89, lumi 9.93
Event Veto ['MiniNoiseBurst'], Thu Aug 17 11:22:44 2017 UTC-Thu Aug 17 11:22:44 2017 UTC (0.001 )  Time stamp start 1502968964872102185 end 1502968964871101535  Run 333426, LB 90, lumi 9.93
Event Veto ['MiniNoiseBurst'], Thu Aug 17 11:23:00 2017 UTC-Thu Aug 17 11:23:00 2017 UTC (0.001 )  Time stamp start 1502968980948207590 end 1502968980947207590  Run 333426, LB 90, lumi 9.92
Event Veto ['MiniNoiseBurst'], Thu Aug 17 11:23:03 2017 UTC-Thu Aug 17 11:23:03 2017 UTC (0.000 )  Time stamp start 1502968983449394645 end 1502968983449394145  Run 333426, LB 90, lumi 0.00
Event Veto ['MiniNoiseBurst'], Thu Aug 17 11:23:03 2017 UTC-Thu Aug 17 11:23:03 2017 UTC (0.001 )  Time stamp start 1502968983450394895 end 1502968983449394645  Run 333426, LB 90, lumi 9.92
Event Veto ['MiniNoiseBurst'], Thu Aug 17 11:23:09 2017 UTC-Thu Aug 17 11:23:09 2017 UTC (0.001 )  Time stamp start 1502968989478398305 end 1502968989477398305  Run 333426, LB 90, lumi 9.92
Event Veto ['MiniNoiseBurst'], Thu Aug 17 11:24:08 2017 UTC-Thu Aug 17 11:24:08 2017 UTC (0.001 )  Time stamp start 1502969048603964680 end 1502969048602964680  Run 333426, LB 91, lumi 9.90
Event Veto ['MiniNoiseBurst'], Thu Aug 17 11:24:11 2017 UTC-Thu Aug 17 11:24:11 2017 UTC (0.001 )  Time stamp start 1502969051156391145 end 1502969051155391145  Run 333426, LB 91, lumi 9.90
Event Veto ['MiniNoiseBurst'], Thu Aug 17 11:24:44 2017 UTC-Thu Aug 17 11:24:44 2017 UTC (0.001 )  Time stamp start 1502969084592900055 end 1502969084591899930  Run 333426, LB 92, lumi 9.88
Event Veto ['MiniNoiseBurst'], Thu Aug 17 11:24:54 2017 UTC-Thu Aug 17 11:24:54 2017 UTC (0.001 )  Time stamp start 1502969094059702090 end 1502969094058701315  Run 333426, LB 92, lumi 9.89
Event Veto ['MiniNoiseBurst'], Thu Aug 17 11:25:03 2017 UTC-Thu Aug 17 11:25:03 2017 UTC (0.001 )  Time stamp start 1502969103694953925 end 1502969103693953125  Run 333426, LB 92, lumi 9.89
Event Veto ['MiniNoiseBurst'], Thu Aug 17 11:25:30 2017 UTC-Thu Aug 17 11:25:30 2017 UTC (0.001 )  Time stamp start 1502969130020488440 end 1502969130019488440  Run 333426, LB 92, lumi 9.88
Event Veto ['MiniNoiseBurst'], Thu Aug 17 11:26:17 2017 UTC-Thu Aug 17 11:26:17 2017 UTC (0.001 )  Time stamp start 1502969177090899545 end 1502969177089899545  Run 333426, LB 94, lumi 9.86
Event Veto ['MiniNoiseBurst'], Thu Aug 17 11:26:17 2017 UTC-Thu Aug 17 11:26:17 2017 UTC (0.001 )  Time stamp start 1502969177758063790 end 1502969177757063790  Run 333426, LB 94, lumi 9.86
