Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 302053 to 302053
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 302053 to run 302053  lasting from Tue Jun 14 14:57:24 2016 UTC to Wed Jun 15 11:15:33 2016 UTC
Event Veto ['NoiseBurst'], Tue Jun 14 16:50:28 2016 UTC-Tue Jun 14 16:50:28 2016 UTC (0.010 )  Time stamp start 1465923028929756695 end 1465923028919755525  Run 302053, LB 121, lumi 93.93
Event Veto ['MiniNoiseBurst'], Tue Jun 14 16:50:36 2016 UTC-Tue Jun 14 16:50:36 2016 UTC (0.001 )  Time stamp start 1465923036449591925 end 1465923036448591925  Run 302053, LB 121, lumi 9.39
Event Veto ['MiniNoiseBurst'], Tue Jun 14 16:51:39 2016 UTC-Tue Jun 14 16:51:39 2016 UTC (0.001 )  Time stamp start 1465923099332678470 end 1465923099331678295  Run 302053, LB 122, lumi 9.37
Event Veto ['MiniNoiseBurst'], Tue Jun 14 16:51:55 2016 UTC-Tue Jun 14 16:51:55 2016 UTC (0.001 )  Time stamp start 1465923115125736825 end 1465923115124736825  Run 302053, LB 122, lumi 9.37
Event Veto ['MiniNoiseBurst'], Tue Jun 14 16:52:00 2016 UTC-Tue Jun 14 16:52:00 2016 UTC (0.001 )  Time stamp start 1465923120357176905 end 1465923120356176905  Run 302053, LB 122, lumi 9.37
Event Veto ['MiniNoiseBurst'], Tue Jun 14 16:52:05 2016 UTC-Tue Jun 14 16:52:05 2016 UTC (0.001 )  Time stamp start 1465923125481747410 end 1465923125480747185  Run 302053, LB 122, lumi 9.37
Event Veto ['MiniNoiseBurst'], Tue Jun 14 16:52:10 2016 UTC-Tue Jun 14 16:52:10 2016 UTC (0.001 )  Time stamp start 1465923130842684250 end 1465923130841684250  Run 302053, LB 123, lumi 9.36
Event Veto ['MiniNoiseBurst'], Tue Jun 14 16:52:14 2016 UTC-Tue Jun 14 16:52:14 2016 UTC (0.001 )  Time stamp start 1465923134397273405 end 1465923134396273405  Run 302053, LB 123, lumi 9.36
Event Veto ['MiniNoiseBurst'], Tue Jun 14 16:52:16 2016 UTC-Tue Jun 14 16:52:16 2016 UTC (0.001 )  Time stamp start 1465923136167858270 end 1465923136166858270  Run 302053, LB 123, lumi 9.36
Event Veto ['MiniNoiseBurst'], Tue Jun 14 16:52:21 2016 UTC-Tue Jun 14 16:52:21 2016 UTC (0.001 )  Time stamp start 1465923141585370630 end 1465923141584370380  Run 302053, LB 123, lumi 9.36
Event Veto ['MiniNoiseBurst'], Tue Jun 14 16:52:42 2016 UTC-Tue Jun 14 16:52:42 2016 UTC (0.001 )  Time stamp start 1465923162631008585 end 1465923162630008585  Run 302053, LB 123, lumi 9.36
Event Veto ['NoiseBurst'], Tue Jun 14 16:52:44 2016 UTC-Tue Jun 14 16:52:44 2016 UTC (0.010 )  Time stamp start 1465923164572805825 end 1465923164562805525  Run 302053, LB 123, lumi 93.63
Event Veto ['MiniNoiseBurst'], Tue Jun 14 16:52:47 2016 UTC-Tue Jun 14 16:52:47 2016 UTC (0.001 )  Time stamp start 1465923167982774000 end 1465923167981773630  Run 302053, LB 123, lumi 9.37
Event Veto ['MiniNoiseBurst'], Tue Jun 14 16:52:53 2016 UTC-Tue Jun 14 16:52:53 2016 UTC (0.001 )  Time stamp start 1465923173175292255 end 1465923173174292255  Run 302053, LB 123, lumi 9.36
Event Veto ['MiniNoiseBurst'], Tue Jun 14 16:53:09 2016 UTC-Tue Jun 14 16:53:09 2016 UTC (0.001 )  Time stamp start 1465923189053507930 end 1465923189052507930  Run 302053, LB 124, lumi 0.00
Event Veto ['MiniNoiseBurst'], Tue Jun 14 16:53:19 2016 UTC-Tue Jun 14 16:53:19 2016 UTC (0.001 )  Time stamp start 1465923199511251935 end 1465923199510251935  Run 302053, LB 124, lumi 0.00
Event Veto ['NoiseBurst'], Tue Jun 14 16:53:25 2016 UTC-Tue Jun 14 16:53:25 2016 UTC (0.010 )  Time stamp start 1465923205909701830 end 1465923205899701055  Run 302053, LB 124, lumi 0.00
Event Veto ['MiniNoiseBurst'], Tue Jun 14 16:53:40 2016 UTC-Tue Jun 14 16:53:40 2016 UTC (0.001 )  Time stamp start 1465923220727720985 end 1465923220726720760  Run 302053, LB 124, lumi 0.00
Event Veto ['MiniNoiseBurst'], Tue Jun 14 16:54:28 2016 UTC-Tue Jun 14 16:54:28 2016 UTC (0.001 )  Time stamp start 1465923268278835945 end 1465923268277835770  Run 302053, LB 126, lumi 9.34
