Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 307195 to 307195
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 307195 to run 307195  lasting from Thu Aug 25 16:41:18 2016 UTC to Fri Aug 26 04:57:00 2016 UTC
Event Veto ['MiniNoiseBurst'], Thu Aug 25 20:57:41 2016 UTC-Thu Aug 25 20:57:41 2016 UTC (0.010 )  Time stamp start 1472158661029625870 end 1472158661019625870  Run 307195, LB 262, lumi 105.70
Event Veto ['NoiseBurst'], Thu Aug 25 20:57:56 2016 UTC-Thu Aug 25 20:57:56 2016 UTC (0.010 )  Time stamp start 1472158676163795795 end 1472158676153795070  Run 307195, LB 262, lumi 105.71
Event Veto ['MiniNoiseBurst'], Thu Aug 25 20:57:56 2016 UTC-Thu Aug 25 20:57:56 2016 UTC (0.010 )  Time stamp start 1472158676344270735 end 1472158676334270735  Run 307195, LB 262, lumi 105.70
Event Veto ['MiniNoiseBurst'], Thu Aug 25 20:58:03 2016 UTC-Thu Aug 25 20:58:03 2016 UTC (0.010 )  Time stamp start 1472158683538351170 end 1472158683528351170  Run 307195, LB 262, lumi 105.70
Event Veto ['MiniNoiseBurst'], Thu Aug 25 20:58:07 2016 UTC-Thu Aug 25 20:58:07 2016 UTC (0.010 )  Time stamp start 1472158687257434485 end 1472158687247434185  Run 307195, LB 262, lumi 105.71
Event Veto ['MiniNoiseBurst'], Thu Aug 25 20:58:11 2016 UTC-Thu Aug 25 20:58:11 2016 UTC (0.010 )  Time stamp start 1472158691033520265 end 1472158691023520265  Run 307195, LB 262, lumi 105.70
Event Veto ['MiniNoiseBurst'], Thu Aug 25 20:58:14 2016 UTC-Thu Aug 25 20:58:14 2016 UTC (0.010 )  Time stamp start 1472158694841588350 end 1472158694831588200  Run 307195, LB 262, lumi 105.71
Event Veto ['MiniNoiseBurst'], Thu Aug 25 20:58:26 2016 UTC-Thu Aug 25 20:58:26 2016 UTC (0.010 )  Time stamp start 1472158706043503325 end 1472158706033503325  Run 307195, LB 263, lumi 104.20
Event Veto ['MiniNoiseBurst'], Thu Aug 25 20:58:29 2016 UTC-Thu Aug 25 20:58:29 2016 UTC (0.010 )  Time stamp start 1472158709894694745 end 1472158709884694745  Run 307195, LB 263, lumi 104.20
Event Veto ['MiniNoiseBurst'], Thu Aug 25 20:58:33 2016 UTC-Thu Aug 25 20:58:33 2016 UTC (0.010 )  Time stamp start 1472158713775609710 end 1472158713765609485  Run 307195, LB 263, lumi 104.20
Event Veto ['MiniNoiseBurst'], Thu Aug 25 20:58:37 2016 UTC-Thu Aug 25 20:58:37 2016 UTC (0.010 )  Time stamp start 1472158717605757805 end 1472158717595757805  Run 307195, LB 263, lumi 104.20
Event Veto ['MiniNoiseBurst'], Thu Aug 25 20:58:41 2016 UTC-Thu Aug 25 20:58:41 2016 UTC (0.010 )  Time stamp start 1472158721500086685 end 1472158721490085115  Run 307195, LB 263, lumi 104.21
Event Veto ['NoiseBurst'], Thu Aug 25 20:58:43 2016 UTC-Thu Aug 25 20:58:43 2016 UTC (0.010 )  Time stamp start 1472158723906434680 end 1472158723896338045  Run 307195, LB 263, lumi 105.21
Event Veto ['MiniNoiseBurst'], Thu Aug 25 20:58:45 2016 UTC-Thu Aug 25 20:58:45 2016 UTC (0.010 )  Time stamp start 1472158725291243035 end 1472158725281243035  Run 307195, LB 263, lumi 104.20
Event Veto ['MiniNoiseBurst'], Thu Aug 25 20:58:49 2016 UTC-Thu Aug 25 20:58:49 2016 UTC (0.010 )  Time stamp start 1472158729145620170 end 1472158729135619970  Run 307195, LB 263, lumi 104.20
Event Veto ['MiniNoiseBurst'], Thu Aug 25 20:58:49 2016 UTC-Thu Aug 25 20:58:49 2016 UTC (0.000 )  Time stamp start 1472158729145620370 end 1472158729145620170  Run 307195, LB 263, lumi 0.00
Event Veto ['MiniNoiseBurst'], Thu Aug 25 20:58:51 2016 UTC-Thu Aug 25 20:58:51 2016 UTC (0.010 )  Time stamp start 1472158731912955515 end 1472158731902955245  Run 307195, LB 263, lumi 104.20
Event Veto ['MiniNoiseBurst'], Thu Aug 25 20:58:51 2016 UTC-Thu Aug 25 20:58:51 2016 UTC (0.000 )  Time stamp start 1472158731912955640 end 1472158731912955515  Run 307195, LB 263, lumi 0.00
Event Veto ['MiniNoiseBurst'], Thu Aug 25 20:58:55 2016 UTC-Thu Aug 25 20:58:55 2016 UTC (0.010 )  Time stamp start 1472158735742623360 end 1472158735732623360  Run 307195, LB 263, lumi 104.20
Event Veto ['MiniNoiseBurst'], Thu Aug 25 20:58:55 2016 UTC-Thu Aug 25 20:58:55 2016 UTC (0.000 )  Time stamp start 1472158735742623760 end 1472158735742623360  Run 307195, LB 263, lumi 0.00
Event Veto ['MiniNoiseBurst'], Thu Aug 25 20:58:59 2016 UTC-Thu Aug 25 20:58:59 2016 UTC (0.010 )  Time stamp start 1472158739551219255 end 1472158739541219255  Run 307195, LB 263, lumi 104.20
Event Veto ['MiniNoiseBurst'], Thu Aug 25 20:59:03 2016 UTC-Thu Aug 25 20:59:03 2016 UTC (0.010 )  Time stamp start 1472158743413281940 end 1472158743403281940  Run 307195, LB 263, lumi 104.20
