Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 304243 to 304243
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 304243 to run 304243  lasting from Fri Jul 22 16:46:25 2016 UTC to Sat Jul 23 11:02:54 2016 UTC
Event Veto ['MiniNoiseBurst'], Fri Jul 22 18:18:28 2016 UTC-Fri Jul 22 18:18:28 2016 UTC (0.001 )  Time stamp start 1469211508865677695 end 1469211508864676520  Run 304243, LB 101, lumi 10.12
Event Veto ['NoiseBurst'], Fri Jul 22 18:18:40 2016 UTC-Fri Jul 22 18:18:40 2016 UTC (0.010 )  Time stamp start 1469211520849330770 end 1469211520839274855  Run 304243, LB 101, lumi 101.60
Event Veto ['MiniNoiseBurst'], Fri Jul 22 18:18:50 2016 UTC-Fri Jul 22 18:18:50 2016 UTC (0.001 )  Time stamp start 1469211530496381360 end 1469211530495380910  Run 304243, LB 101, lumi 10.11
Event Veto ['NoiseBurst'], Fri Jul 22 18:18:57 2016 UTC-Fri Jul 22 18:18:57 2016 UTC (0.010 )  Time stamp start 1469211537681922435 end 1469211537671717290  Run 304243, LB 101, lumi 103.11
Event Veto ['MiniNoiseBurst'], Fri Jul 22 18:19:05 2016 UTC-Fri Jul 22 18:19:05 2016 UTC (0.001 )  Time stamp start 1469211545513554895 end 1469211545512554895  Run 304243, LB 101, lumi 10.10
Event Veto ['NoiseBurst'], Fri Jul 22 18:19:10 2016 UTC-Fri Jul 22 18:19:10 2016 UTC (0.010 )  Time stamp start 1469211550802266375 end 1469211550792064450  Run 304243, LB 101, lumi 103.08
Event Veto ['NoiseBurst'], Fri Jul 22 18:19:18 2016 UTC-Fri Jul 22 18:19:18 2016 UTC (0.010 )  Time stamp start 1469211558916975535 end 1469211558906823135  Run 304243, LB 101, lumi 102.58
Event Veto ['NoiseBurst'], Fri Jul 22 18:19:26 2016 UTC-Fri Jul 22 18:19:26 2016 UTC (0.010 )  Time stamp start 1469211566241690325 end 1469211566231486055  Run 304243, LB 102, lumi 102.82
Event Veto ['MiniNoiseBurst'], Fri Jul 22 18:19:26 2016 UTC-Fri Jul 22 18:19:26 2016 UTC (0.001 )  Time stamp start 1469211566964284930 end 1469211566963283635  Run 304243, LB 102, lumi 10.09
Event Veto ['MiniNoiseBurst'], Fri Jul 22 18:19:32 2016 UTC-Fri Jul 22 18:19:32 2016 UTC (0.001 )  Time stamp start 1469211572370842110 end 1469211572369842110  Run 304243, LB 102, lumi 10.08
Event Veto ['NoiseBurst'], Fri Jul 22 18:19:34 2016 UTC-Fri Jul 22 18:19:34 2016 UTC (0.010 )  Time stamp start 1469211574245543155 end 1469211574235305925  Run 304243, LB 102, lumi 103.15
Event Veto ['MiniNoiseBurst'], Fri Jul 22 18:19:43 2016 UTC-Fri Jul 22 18:19:43 2016 UTC (0.001 )  Time stamp start 1469211583185013860 end 1469211583184013860  Run 304243, LB 102, lumi 10.08
